HS_used	TL_used	Share_TL_used	HS_selected	TL_selected
HS12	030449	0.25	HS17	030447
HS12	030449	0.25	HS17	030448
HS12	030449	0.25	HS17	030449
HS12	030451	1	HS17	030451
HS12	030459	0.25	HS17	030451
HS12	030459	0.25	HS17	030456
HS12	030459	0.25	HS17	030457
HS12	030459	0.25	HS17	030459
HS12	030469	1	HS17	030469
HS12	030489	0.333333333333333	HS17	030469
HS12	030489	0.333333333333333	HS17	030488
HS12	030489	0.333333333333333	HS17	030489
HS12	030493	1	HS17	030493
HS12	030499	0.25	HS17	030493
HS12	030499	0.25	HS17	030496
HS12	030499	0.25	HS17	030497
HS12	030499	0.25	HS17	030499
HS12	030531	1	HS17	030531
HS12	030539	0.5	HS17	030531
HS12	030539	0.5	HS17	030539
HS12	030544	1	HS17	030544
HS12	030549	0.5	HS17	030544
HS12	030549	0.5	HS17	030549
HS12	030559	0.25	HS17	030552
HS12	030559	0.25	HS17	030553
HS12	030559	0.25	HS17	030554
HS12	030559	0.25	HS17	030559
HS12	030564	1	HS17	030564
HS12	030569	0.5	HS17	030564
HS12	030569	0.5	HS17	030569
HS12	030621	0.5	HS17	030631
HS12	030622	0.5	HS17	030632
HS12	030624	0.5	HS17	030633
HS12	030625	0.5	HS17	030634
HS12	030626	0.5	HS17	030635
HS12	030627	0.5	HS17	030636
HS12	030629	0.5	HS17	030639
HS12	030621	0.5	HS17	030691
HS12	030622	0.5	HS17	030692
HS12	030624	0.5	HS17	030693
HS12	030625	0.5	HS17	030694
HS12	030626	0.5	HS17	030695
HS12	030627	0.5	HS17	030695
HS12	030629	0.5	HS17	030699
HS12	030719	0.5	HS17	030712
HS12	030719	0.5	HS17	030719
HS12	030729	0.5	HS17	030722
HS12	030729	0.5	HS17	030729
HS12	030739	0.5	HS17	030732
HS12	030739	0.5	HS17	030739
HS12	030741	1	HS17	030742
HS12	030791	0.333333333333333	HS17	030742
HS12	030749	0.5	HS17	030743
HS12	030799	0.166666666666667	HS17	030743
HS12	030749	0.5	HS17	030749
HS12	030799	0.166666666666667	HS17	030749
HS12	030759	0.5	HS17	030752
HS12	030759	0.5	HS17	030759
HS12	030779	0.5	HS17	030772
HS12	030779	0.5	HS17	030779
HS12	030791	0.333333333333333	HS17	030782
HS12	030789	0.5	HS17	030783
HS12	030799	0.166666666666667	HS17	030784
HS12	030789	0.5	HS17	030787
HS12	030799	0.166666666666667	HS17	030788
HS12	030791	0.333333333333333	HS17	030791
HS12	030799	0.166666666666667	HS17	030792
HS12	030799	0.166666666666667	HS17	030799
HS12	030819	0.5	HS17	030812
HS12	030819	0.5	HS17	030819
HS12	030829	0.5	HS17	030822
HS12	030829	0.5	HS17	030829
HS12	080520	0.333333333333333	HS17	080521
HS12	080520	0.333333333333333	HS17	080522
HS12	080520	0.333333333333333	HS17	080529
HS12	121120	1	HS17	121120
HS12	200899	0.333333333333333	HS17	121120
HS12	121130	1	HS17	121130
HS12	140490	0.2	HS17	121130
HS12	121140	1	HS17	121140
HS12	140490	0.2	HS17	121140
HS12	121190	0.5	HS17	121150
HS12	140490	0.2	HS17	121150
HS12	121190	0.5	HS17	121190
HS12	140490	0.2	HS17	121190
HS12	200899	0.333333333333333	HS17	121190
HS12	130219	0.5	HS17	130214
HS12	130219	0.5	HS17	130219
HS12	140490	0.2	HS17	140490
HS12	160419	0.5	HS17	160418
HS12	160419	0.5	HS17	160419
HS12	160554	1	HS17	160554
HS12	160559	0.5	HS17	160554
HS12	160559	0.5	HS17	160559
HS12	200899	0.333333333333333	HS17	200899
HS12	220290	0.5	HS17	220291
HS12	220290	0.5	HS17	220299
HS12	220429	0.5	HS17	220422
HS12	220429	0.5	HS17	220429
HS12	281119	0.5	HS17	281112
HS12	281119	0.5	HS17	281119
HS12	281210	0.125	HS17	281211
HS12	281210	0.125	HS17	281212
HS12	281210	0.125	HS17	281213
HS12	281210	0.125	HS17	281214
HS12	281210	0.125	HS17	281215
HS12	281210	0.125	HS17	281216
HS12	281210	0.125	HS17	281217
HS12	281210	0.125	HS17	281219
HS12	285300	0.5	HS17	285310
HS12	284800	1	HS17	285390
HS12	285300	0.5	HS17	285390
HS12	290389	0.5	HS17	290383
HS12	290389	0.5	HS17	290389
HS12	290399	0.333333333333333	HS17	290393
HS12	290399	0.333333333333333	HS17	290394
HS12	290399	0.333333333333333	HS17	290399
HS12	290490	0.125	HS17	290431
HS12	290490	0.125	HS17	290432
HS12	290490	0.125	HS17	290433
HS12	290490	0.125	HS17	290434
HS12	290490	0.125	HS17	290435
HS12	290490	0.125	HS17	290436
HS12	290490	0.125	HS17	290491
HS12	290490	0.125	HS17	290499
HS12	291090	0.5	HS17	291050
HS12	291090	0.5	HS17	291090
HS12	291469	0.5	HS17	291462
HS12	291469	0.5	HS17	291469
HS12	291470	0.5	HS17	291471
HS12	291470	0.5	HS17	291479
HS12	291819	0.5	HS17	291817
HS12	291819	0.5	HS17	291819
HS12	292090	0.142857142857143	HS17	292021
HS12	292090	0.142857142857143	HS17	292022
HS12	292090	0.142857142857143	HS17	292023
HS12	292090	0.142857142857143	HS17	292024
HS12	292090	0.142857142857143	HS17	292029
HS12	292090	0.142857142857143	HS17	292030
HS12	292090	0.142857142857143	HS17	292090
HS12	292119	0.25	HS17	292112
HS12	292119	0.25	HS17	292113
HS12	292119	0.25	HS17	292114
HS12	292119	0.25	HS17	292119
HS12	292213	0.5	HS17	292215
HS12	292219	0.25	HS17	292216
HS12	292219	0.25	HS17	292217
HS12	292219	0.25	HS17	292218
HS12	292213	0.5	HS17	292219
HS12	292219	0.25	HS17	292219
HS12	292390	0.333333333333333	HS17	292330
HS12	292390	0.333333333333333	HS17	292340
HS12	292390	0.333333333333333	HS17	292390
HS12	292429	0.5	HS17	292425
HS12	292429	0.5	HS17	292429
HS12	292690	0.5	HS17	292640
HS12	292690	0.5	HS17	292690
HS12	293090	0.25	HS17	293060
HS12	293090	0.25	HS17	293070
HS12	293050	1	HS17	293080
HS12	293090	0.25	HS17	293080
HS12	293090	0.25	HS17	293090
HS12	293190	0.1	HS17	293131
HS12	293190	0.1	HS17	293132
HS12	293190	0.1	HS17	293133
HS12	293190	0.1	HS17	293134
HS12	293190	0.1	HS17	293135
HS12	293190	0.1	HS17	293136
HS12	293190	0.1	HS17	293137
HS12	293190	0.1	HS17	293138
HS12	293190	0.1	HS17	293139
HS12	293190	0.1	HS17	293190
HS12	293219	0.5	HS17	293214
HS12	293219	0.5	HS17	293219
HS12	293399	0.5	HS17	293392
HS12	293399	0.5	HS17	293399
HS12	293500	0.166666666666667	HS17	293510
HS12	293500	0.166666666666667	HS17	293520
HS12	293500	0.166666666666667	HS17	293530
HS12	293500	0.166666666666667	HS17	293540
HS12	293500	0.166666666666667	HS17	293550
HS12	293500	0.166666666666667	HS17	293590
HS12	293991	1	HS17	293971
HS12	293999	1	HS17	293979
HS12	300210	0.166666666666667	HS17	300211
HS12	300210	0.166666666666667	HS17	300212
HS12	300210	0.166666666666667	HS17	300213
HS12	300210	0.166666666666667	HS17	300214
HS12	300210	0.166666666666667	HS17	300215
HS12	300210	0.166666666666667	HS17	300219
HS12	300340	0.25	HS17	300341
HS12	300340	0.25	HS17	300342
HS12	300340	0.25	HS17	300343
HS12	300340	0.25	HS17	300349
HS12	300390	0.5	HS17	300360
HS12	300390	0.5	HS17	300390
HS12	300440	0.25	HS17	300441
HS12	300440	0.25	HS17	300442
HS12	300440	0.25	HS17	300443
HS12	300440	0.25	HS17	300449
HS12	300490	0.5	HS17	300460
HS12	300490	0.5	HS17	300490
HS12	310310	0.5	HS17	310311
HS12	310310	0.5	HS17	310319
HS12	370510	1	HS17	370500
HS12	370590	1	HS17	370500
HS12	380850	0.5	HS17	380852
HS12	380850	0.5	HS17	380859
HS12	380891	0.2	HS17	380859
HS12	380892	0.5	HS17	380859
HS12	380893	0.5	HS17	380859
HS12	380894	0.5	HS17	380859
HS12	380899	0.5	HS17	380859
HS12	380891	0.2	HS17	380861
HS12	380891	0.2	HS17	380862
HS12	380891	0.2	HS17	380869
HS12	380891	0.2	HS17	380891
HS12	380892	0.5	HS17	380892
HS12	380893	0.5	HS17	380893
HS12	380894	0.5	HS17	380894
HS12	380899	0.5	HS17	380899
HS12	381230	0.5	HS17	381231
HS12	381230	0.5	HS17	381239
HS12	382490	0.142857142857143	HS17	382484
HS12	382490	0.142857142857143	HS17	382485
HS12	382490	0.142857142857143	HS17	382486
HS12	382490	0.142857142857143	HS17	382487
HS12	382490	0.142857142857143	HS17	382488
HS12	382490	0.142857142857143	HS17	382491
HS12	382490	0.142857142857143	HS17	382499
HS12	390190	0.5	HS17	390140
HS12	390190	0.5	HS17	390190
HS12	390760	0.5	HS17	390761
HS12	390760	0.5	HS17	390769
HS12	390930	0.5	HS17	390931
HS12	390930	0.5	HS17	390939
HS12	392690	0.5	HS17	392690
HS12	401161	1	HS17	401170
HS12	401192	1	HS17	401170
HS12	401162	1	HS17	401180
HS12	401163	1	HS17	401180
HS12	401193	1	HS17	401180
HS12	401194	1	HS17	401180
HS12	401169	1	HS17	401190
HS12	401199	1	HS17	401190
HS12	440110	0.5	HS17	440111
HS12	440110	0.5	HS17	440112
HS12	440139	0.5	HS17	440139
HS12	440139	0.5	HS17	440140
HS12	440310	0.5	HS17	440311
HS12	440310	0.5	HS17	440312
HS12	440320	0.166666666666667	HS17	440321
HS12	440320	0.166666666666667	HS17	440322
HS12	440320	0.166666666666667	HS17	440323
HS12	440320	0.166666666666667	HS17	440324
HS12	440320	0.166666666666667	HS17	440325
HS12	440320	0.166666666666667	HS17	440326
HS12	440349	1	HS17	440349
HS12	440399	0.166666666666667	HS17	440349
HS12	440392	0.5	HS17	440393
HS12	440392	0.5	HS17	440394
HS12	440399	0.166666666666667	HS17	440395
HS12	440399	0.166666666666667	HS17	440396
HS12	440399	0.166666666666667	HS17	440397
HS12	440399	0.166666666666667	HS17	440398
HS12	440399	0.166666666666667	HS17	440399
HS12	440610	0.5	HS17	440611
HS12	440610	0.5	HS17	440612
HS12	440690	0.5	HS17	440691
HS12	440690	0.5	HS17	440692
HS12	440710	0.333333333333333	HS17	440711
HS12	440710	0.333333333333333	HS17	440712
HS12	440710	0.333333333333333	HS17	440719
HS12	440729	1	HS17	440729
HS12	440799	0.25	HS17	440729
HS12	440799	0.25	HS17	440796
HS12	440799	0.25	HS17	440797
HS12	440799	0.25	HS17	440799
HS12	440839	1	HS17	440839
HS12	440890	0.5	HS17	440839
HS12	440890	0.5	HS17	440890
HS12	440929	0.5	HS17	440922
HS12	440929	0.5	HS17	440929
HS12	441231	1	HS17	441231
HS12	441232	0.333333333333333	HS17	441231
HS12	441232	0.333333333333333	HS17	441233
HS12	441232	0.333333333333333	HS17	441234
HS12	441239	1	HS17	441239
HS12	441871	0.5	HS17	441873
HS12	441872	0.5	HS17	441873
HS12	441879	0.5	HS17	441873
HS12	441871	0.5	HS17	441874
HS12	441872	0.5	HS17	441875
HS12	441879	0.5	HS17	441879
HS12	441890	0.5	HS17	441891
HS12	441890	0.5	HS17	441899
HS12	441900	0.25	HS17	441911
HS12	441900	0.25	HS17	441912
HS12	441900	0.25	HS17	441919
HS12	441900	0.25	HS17	441990
HS12	442190	0.333333333333333	HS17	442191
HS12	442190	0.333333333333333	HS17	442199
HS12	480100	1	HS17	480100
HS12	480261	0.5	HS17	480100
HS12	480262	0.5	HS17	480100
HS12	480261	0.5	HS17	480261
HS12	480262	0.5	HS17	480262
HS12	540259	0.5	HS17	540253
HS12	540259	0.5	HS17	540259
HS12	540269	0.5	HS17	540263
HS12	540269	0.5	HS17	540269
HS12	550200	0.5	HS17	550210
HS12	550200	0.5	HS17	550290
HS12	550690	0.5	HS17	550640
HS12	550690	0.5	HS17	550690
HS12	570490	0.5	HS17	570420
HS12	570490	0.5	HS17	570490
HS12	600531	0.5	HS17	600535
